sentiment,text,substring,status
neutral,@ atghosh @ ZeeNewsHindi I don't understand what does he mean by ' surakshit nahi hain '?? Is he not getting electricit … https // t . co / Kb4GfDqMCB,,
negative,@ bprerna Librandu sirf hindu dharm ke baare mai hi kutte ki tarah bhoukkar sakte hai .... Kyoki inko pata hai ki isl … https // t . co / CTd63Pcn8J,,
negative,@ tvsmotorcompany Company doesn't have any separate kit for non abs Apache ? Bad news disappointed Not even a year … https // t . co / BqWJDcSieP,,
positive,Hardik badhai ho modi ji https // t co / uzokq9V7gq,,
positive,amit bhai aapko bhut bhut badhai aur subhkamnaye youtube par 15 milions subscribers hone par aap ese hi tarakki krt … https // t . co / 3mt7Q4Yfyt,,
negative,RT @ AliRazaTweets This is not parliamentarian norm . Leaders do not shout in NA . They listen when others talk . It confirms that Bilawal Zar …,,
negative,@ Iamben27 @ mani _ 410 Bhai unke batting me problem . Bowling toh unki without STEYN bhi utni hi dangerous hai .,,
positive,@ bismal85 Wahh bhar kitni excitement hai .. Subhan'Allah 😋,,
negative,My Brother in Law explaining me how Pakistain is just reliving the 92 world cup . He yar 92 mein WI is Pakistan p … https // t . co / Rzdj4216GP,,
neutral,@ Lewysko @ hcslovanba Mna by celkom zaujimalo č i ten nov ý “ sponzor ” bol ten ktor ý m sa oh áň al Stefl,,
positive,Happiest bday to my all time fav Asli sona @ sonakshisinha many many happy returns of the day . Ap jio hajaro sal Lo … https // t . co / yBSNp7XuD4,,
neutral,@ AlinaAdyl Nah its wrong jhoot ni bolo hamain na garmi na sardi chahiyai 😒😒 Moderate temperature is best jeisay ki aj kal Quetta mai hai 💙😂,,
negative,@ rssurjewala Surjewala ji ek ladki rep hua ye boliye dalit ladki ka hua ye Kya jatigat rajneet krna chid dijey nahi … https // t co / sIlFcwzZF3,,
negative,@ SaraYadavSp Ye vo Randi hai Jo din mein 50 ka land leti hai aur sun Randi ki paidaish Jo kisi ko nich bole vo apni … https // t co / sE6Jn2WZU4,,
neutral,@ iffrahK Hahhaha i am feeling the same shit !!! Let ’ s hope God has something better planned for us !!!,,
positive,@ bodyguardguru @ GuruOfficial Mere Prince ki Swagat bilkul aaisa hi hona chahiye Love you my cute Guru 😘😘😘😘 … https // t co / oPzrbd8AOD,,
positive,@ WhoSunilGrover Mere bhaijan ki movie or India ke sultan ki movie only bharat,,
positive,@ megalotrash HOOOOO SHIT TWASHYYYYYYYYY you did such as good job ! And the feather boa looks amazing ! So good <3333,,
neutral,RT @ induvishnoi57 Jai Bajrang Bali 🙏🙏🌺🍃🌺 Shubh prabhat vandan pyare dosto 🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺 https // t . co / V4cJWoGJ42,,
negative,@ nadeemNBT ji Maine wo din hi kaha tha na aapse BJP Ko Anya pichda jaati ka dalit aur Yadav ka chor ke bohot backup … https // t . co / 6FRg6Gt7u7,,
neutral,@ PMOIndia @ narendramodi Apko second tirm bahoot bahoot mubarak ho ummeed hai aap desh k har warg ko sath le Ke chal … https // t . co / 69VvEim67B,,
positive,RT @ Chetan12061979 @ ANI # VijayiBharat # ModiSarkar2 # ModiSwearingIn Heartiest Congratulations to our Honourable PM Shree Modi ji for Swea …,,
negative,# Modi Phone Tak Nahi Uthate Nalayak @ ImranKhanPTI Ka Darr Hai Unhe Ki Kahi Ye Humse Paise Na Maang Le - Maryam Naw … https // t . co / x8y17Du9tx,,
positive,RT @ BcsdYss Youth Summit 2019! Thank u ⁦⁦@ KingmakersO ⁩ for sending Baayan Bakari as our guest speaker ! Thank u to all workshop presenters !…,,
negative,@ TarekFatah MADAR CHODE DAGGAR DALLE jab teri maa ke yarun ne ARMY CAP pehni thee tab tere munh kisi SUWAR ne DA … https // t . co / q4MOKm1UFl,,
neutral,@ HardikPatel _ BCCM sala net chalavana rupia kyathi lave chhe Berojgar ni ma fads,,
neutral,@ MahimaShastri @ sagarikaghose Kisko padhane ki koshish kar Rahi ho behan yeh # KhanMarketGang nahi sudhar sakte … https // t co / a03I0JyeMi,,
neutral,Chiller man giving big jhtka # NSEcoloScam has made it a laughing stock @ firstpost @ aajtak @ anjanaomkashyap https // t . co / HLOCU0zKQJ,,
negative,@ itahasafdar They didn't even put that effort to win . Niyat hi nahi thi Disappointment,,
positive,@ narendramodi Jai hind Bharat mata ki jai congratulations sheer narendra damodar das modi ji im very happy 5 years … https // t . co / XAiBtMDLeE,,
negative,It's quite sad that to even construct ram mandir at ram janambhoomi in ayodhya we need to knock the doors of court … https // t . co / zJsMStA1Ad,,
neutral,RT @ Akkaji2 @ ashokepandit @ ShefVaidya @ AnupamPKher @ imbhandarkar @ vivekagnihotri Ç haar ne Chalis ki phaad ditta . . . Where is the Gang t …,,
neutral,@ RanaAyyub Samaj Sakte hain bahut dard hora hoga par aadat daallo Kyun Ki Baar Baar Modi Sarkar 🚩... https // t . co / ExANVB7Ps0,,
neutral,@ SAMBIT _ PATRAg @ DrKumarVishwas @ mlkhattar Haarne ke gum se bahar nikaliye aur Hindu Muslim ke beach nafraat bona ba … https // t . co / ARSmq2ZBDR,,
negative,RT @ VijaySh38453245 @ dr _ shrikant003 Very nice Pakistan Bhukha nanga hai,,
positive,@ Fairyland _ girlz I have lived that experience sam ... kya batau ... best experience ever 😭😭😭😭 seriously .. bhot bhot acha h show,,
neutral,@ Ihatemorons @ MariaMalik36 Hum shayed pyare to nahi magar humare bhi 1K howe or koi bhi congrats nahi bola 😄,,
neutral,Sahi Salah hai bipakh ke liye darhi topi lagake nakli mullah Ko paisa deke Islam ka jaankar batake Muslim r Islam k … https // t co / g5Sb0lx2jJ,,
negative,@ singharti411 Hogi bhi nahi ... @ ArvindKejriwal Jo congress k khilaaf ladke Delhi ki kursi liya ... jo apne bhaasan me … https // t . co / bTSPTGrKoh,,
neutral,RT @ CAUCLaim 한국 댄스러시 팀 약자 AP Away from Pepsi AIM Alchohol Is Mine ELPY ELegant Play ' one Year ' SSR Super Super Rare SC 제일은행,,
positive,@ SouthernNaiad @ MarthaTheZealot aw it ’ s cute tho so who cares why haha,,
negative,@ pbhushan1 Tum jaise C .... Ko mandate nahi samajh aayega . Dalla of Indian Jurisdiction .,,
neutral,@ PiyushGoyal we voted modi jee for corruption free administration but you are unable to curb such malpractice durin … https // t . co / 9p2zpcbUty,,
neutral,Dragon Quest is my favorite game series and seeing so many people shit on it friends included hurts my heart dude !,,
negative,@ RahulGandhi Next time Sala Hume Bjp ko vote nahi Dena Kyo ki Bjp sirf rajput aur pandito ki party h usko Kya malum … https // t co / Wj0NAj5Dop,,
neutral,Jam kamal ki Eid k bad waise bhi chutti honi hain . or isy waja se horahi hai k is ne collective partner's ko ignore … https // t . co / dP4ROkEKhb,,
positive,@ its _ mahi01 Kaafi acha talent h pr mujhe bhe sikhna h !!,,
negative,@ ManaalMushtaq Ya tou BC apne baiton ki tarbiyyat achi krlo ya uss ko USSI KI JESI AURAT la kr do STOP EXPLOITING … https // t . co / V9NfwsEUmS,,
positive,Weldone by Army chief salam ho apko or Pak army ko kash aese faisly civilian govt me bi hothy billions ka fraud kar … https // t co / 1ev9FM9Bzo,,
positive,Abki bar jalsa or sandar Bahut Bahut subhkamnaye Maniey P . M Modi ji https // t . co / PYDHDSVX9Y,,
positive,RT @ ChaudhryShankar Congrats Shri Gajendra Singh Shekhawat Ji on taking charge as the Minister for Jal Shakti . My best wishes for a succes …,,
negative,Fake hi fake sab taraf upar se niche tak Fake ... Fake IPS officer who was a motivational speaker and a social med … https // t . co / t54bB0LIsT,,
positive,@ dbinea @ M _ Asingwire Haha 😂 era gwe kale no one can decive you about the future you already see the future 😂😂😂😂,,
neutral,@ Ritushu71866554 Riste koi bhi ho hmesa ke liye nhi hote .... apne maa papa ke btaye hue rasto pe chalo ... achhi bno u … https // t . co / 1pb09YJjZp,,
neutral,This is call a proper squad training yappi but sorry live nahi kr paya q ki net khatm ho gya yaro,,
neutral,@ BBCHindi 2019 me BJP ko wb me bahumat nahi mila isliye Tmc ke MLA ko BJP khareed rahi hai,,
neutral,Mai to khush hota hoon . Daikha kisi ka dil dukhaya Or mil gaee saza isi duniya mai . Joke aside everyone created by … https // t . co / BAlQ5PF8tH,,
positive,Assalamu ' alaikum warahmatullahi wabarakatuh . To all my sweet followers I love ❤ you all . June 01 2019 at 0600AM https // t . co / USM8u0vbZI,,
negative,@ atifthepoet @ UmarCheema1 Aur bohat acha hua k khan agaya warna is Pakistan ko in haramion ne bech k London aur Dubai nikal Jana tha,,
neutral,@ SchakrabartiEP @ santosh _ padala @ glen _ bug @ jaykoneru @ TimLarsen1 @ KennethEllenbo1 @ BiosenseWebster @ josoriomd Well … https // t co / v2WdYveusV,,
neutral,@ narendramodi Ji @ dasraghubar ji @ rajsinhabjp ji modi ji ke aane se umid jagi hai or but priwet job karta hu 10ho … https // t . co / wo9khBtx4D,,
positive,RT @ Aarishsheikh10 @ CuteFatiima Zarori Nhi Jo Pyr Kre Usse Hi Mohabbat Ho Kbhi kbhi dil todne walo se bhi mohabbat Kamal Ki Hoti Hai ✍️✍️☝,,
neutral,@ dreamsheikh @ Shining __ star77 She don't like him she like you know what I mean 😜 jisko samaj aagaya like maaro aur … https // t . co / kVrHTRf6wL,,
neutral,@ falamb3 @ Maria _ Memon Taubaa itnay veley log hain jo is py b issue create kr rhy 🤦‍♀️🤦‍♀️ Kch ni ho skta is mulq ka ...,,
negative,@ bhaktriot Sach to ye hai ki Hindu hi shikar hote aaye Hain ab tk ... Per ab nhi hone denge jitni awaaz buland Kar … https // t . co / 1MDGa5ElOx,,
neutral,@ abhivatsal1 Yadi dhara 370 35 A par Kuch Nahi Kiya to bahut a66a Nahi Hoga 2024 BJP ke liy RajyaSabha me bahumat Bhi Nahi hai,,
neutral,Wo Residency Road ki shopping Wo Purani Mandi ki Mastiya kabhi Lambu ke Goll Gappe Kabhi Pahalwan ki Mithas … https // t . co / SeKr8HWF6O,,
positive,RT @ armyindonesiaa2 Lagu yang dinyanyikan saat Soundcheck Wembley Concert hari ini adalah - Best of Me - Mic Drop - Fake Love Masih ter …,,
positive,@ HYUN7lN saf baby (( i ’ m sorry i wasn ’ t online i hope you ’ re sleeping well though i love you,,
neutral,@ Longterm _ wealth @ naman84 Saap bhi mar gaya aur lathi bhi nahi tuti,,
neutral,RT @ VishnubhaiRami1 @ sawalaramparmar @ narendramodi @ DrKumarVishwas @ MamataOfficial Good morning and Jay Mali samaj,,
negative,Vontade de ouvir uns modao com o @ Moscal _ e chorar na sala,,
negative,@ Rabia366 Oye ja kam kar ... yeh foj ke waja se he mulk bacha hua hy warna tum bhi afghani aurton ke tarah hath uper … https // t . co / NYJ2x8arwo,,
neutral,@ sanjaynirupam Sir hmko India ko Pakistan NHi bana jha .. sarkar ki bjha se 200rs = 1 dol .. jitna sahi he bo sarkar … https // t . co / rb8uiqvhld,,
positive,@ RssKanishk @ ShwetaM78500400 Ssahi baat ... n love jehad me barbad hui ladkiyon ko samaj k taraf se v koi help kavi … https // t . co / bBfwTufDOK,,
positive,@ PMOIndia Congratulations PM sir ji Apko loksabha election me parchand jeet ki hardik subhkamnaye Aapke natartav m … https // t co / JI4BIKmIlq,,
negative,@ Rabiaa _ here ghr waly chor deny hen life style badal lena hai lekin Thori minnatain nahi krni Ego hurt hoti he maharaaniyon ki !,,
neutral,@ Wolf110008538 @ AskAnshul Merut me Jashn Mnane Pe Jise Mara gya Mullo Ne Wo Hindu tha Delhi me BeTi Ko Bchane … https // t co / MWnOmnVnoy,,
neutral,Feel ko this is a year of laag for me 😂 love u 2019 😊😇,,
neutral,@ SHABAZGIL Shukar hai ye pathan nae warna # PTM nay is pr b wae dramay krnay thay In ki harkato ki waja say bht jal … https // t co / u7k1EUYpk3,,
neutral,@ sardanarohit ' Abhivyakti ki azadi'ka matalab pehlay khud samjho sardana ab ye bhi bhol chukay chatukarita kartay k … https // t . co / 0RdCyd9JFC,,
neutral,RT @ saint _ vn 👉 https // t . co / vJHuZd9Pjs It's MV for Have Just Know let's stream for our KissBoys . MV is so fresh and we have rapper Sa …,,
positive,WALAIKUM ASSALAM SUBHA B KHAIR ZINDAGI KHUSH KHURRAM RAHAIN ZINDAGI BHAR DEAR SWEET SISTER GOOD LUCK GOD BLESS YOU … https // t . co / Hfy0ffkSTm,,
negative,@ Shoaib _ Jatt Abhi yeh sb baatein nhe krni chahye Pakistan ka imafe kharab horha hai kuch aqal se Kam Len @ shoaib100mph,,
positive,RT @ D _ Luckiest Happy # BrothersDay to You MSG Bhai 😍 You are a Big Security to me ❤ Thankyou 4 being my Bestest Caring and Bravest Brother …,,
positive,@ BeingSalmanKhan bhabhi ke sang bhaiya .. wow ... looking nice jodi .. made in heaven ..,,
positive,Shukar h Dateya Tera Shukar h @ Gurmeetramrahim Mehar bnayi rkhi My cute bro hua h maama ji k ghar pe mehar krna … https // t . co / WQWLAsPSS2,,
positive,@ NoorFat78862153 Picture par effect bhe boohat lag jata ha ajj kal,,
positive,Canny believe av been this excited for my new car n Now a don ’ t want it 🙂 this is going to be fun telling them am patching it 🙂🙂🙂,,
neutral,# Askstar Ajinkya Rahane is more effective at no 4 in World cup ? # WorldCup2019,,
negative,Gaanv walo ye jo devil h na @ Devil __ 017 iski wajah se Mai Deactivate kr rhi 💔😒😭😭 Maaf mat krna isko,,
positive,RT @ sagarkumar3537 # UnlockYourInnerPower @ Gurmeetramrahim Good evening guru g Bless us for Sewa Simran and Parmarth Make us perfect Dh …,,
positive,@ SakhtDil _ Krati Nhi re 😨 But mast acting krta banda ... Great personality ... Aur Balika Vadhu ki jitni trp thi kisi … https // t . co / VWQmDigjJa,,
neutral,"* Golden Words * Har Lafz me "" Matlab "" hota hy Aur har "" Matlab "" me farq hota hy Zindagi me 2 cheezen totny ke liye … https // tco / teBJq35szT",,
neutral,Congressiyo ka kch na hoga beda gark hai in sbka ab km se km 5 saal aur 😂😂😝😝😝😝 # abkiBaarModiSarkar https // tco / ufdW2vBYEK,,
positive,@ waglenikhil Nikhil apke hisab se jisko 100 %© vote mile wahi PM hona chahiye bhai yahan democracy hai koe Rajtantra … https // t co / 2TDmbKfzLV,,
neutral,@ aajtak kisne kiya band kab kiya bank kyu nh le rahi h sikke shopkeepers se yrrr plssssssss do something yeh Baat govt tak forward karo,,
neutral,@ ANI Har cheez ke liye modi hi hi zimedaar hai puri baat likho koi pagal nahi hai jo tujhe marega apni galti bhi ba … https // t . co / qo0Xe602zA,,
negative,Baimaan tera Ajay Singh Cheating baaj Teri Airlines Saale Chutiya banane ke liye Baithe ho Jakar Station me Bhi … https // t co / BG2HpIjJ9j,,
neutral,@ beula _ pandu @ UrvashiJaiswal7 @ Friendly _ bini @ justvoot Hey don't be sad you know ' CHINA KA MAAL ' is not ' Tikau ' an … https // t co / S34nEAgssY,,
neutral,Dhara kub hatega ? What r u waiting for ? Kisi ne ullu banaya lagta hai . Mera aur mk ka koi divorse case file nhi h … https // t . co / nJC8KxJoDN,,
negative,@ aajtak Salo mullo ko adha Hindustan donge to b kadvi batei hi karenge .. Sale dogle .. Kabhi kabhi lagta hai ki unka … https // t . co / ktfpcvyVUL,,
positive,@ asra _ dar Aziz miyan Thank you very much for RT & liking my poetry your appreciation boosts my zeal & motivate me … https // t . co / hhP2DSthac,,
positive,Pranam sir . Proud of You 🙏 https // t . co / JAMYkz4AeV,,
positive,OR I WISH VERY AND VERY HAPPY AND BLESSED # RAMADAN OR # RAMJAAN MONTH TO INDIAN NATIONAL CONGRESS PRESIDENT SHRI … https // t . co / iLZ0nx9yPk,,
negative,@ aajtak tu aaj wake kitna juuth bole Gye .... Modi g ma dd newz dekh rahe thi tum kyu aapna samey Baja rahe the .. https // t . co / Bc77YA34BF,,
positive,@ Nationalist _ Om @ sonu86844114 Bilkul Theek Bole Bhai,,
positive,RT @ sallukhanbeing Retweet FOr This KING 5 Din Intizar K Baad RAAJ Ho Ga Bollywood Py SALMAN KHAN KA # BHARATIn5Days https // t . co / Ntg8OJOa3g,,
negative,@ WeUttarPradesh @ bareillypolice @ Uppolice Maarne wale kahaan se Aastha k Prateek lag rahe hain . Gunde hain ye .. or kuch nahi .. Shame on them .,,
neutral,@ Wilkin _ Tech Eagerly waiting to invest long term . Bahut hua Maruti ka naam ab har shaam M & M ke naam,,
neutral,Ha ha ha bapu zinda ho gaye https // t co / wV6gD2GFVW,,
neutral,@ musman109 Mai to pehle se hai manta hu jyada nahi 5-8% vote opposition ka udhar kiya hoga baaki logo ne modi ke na … https // t . co / pa7a28NiKg,,
positive,Mai Kafir kiso ko bolta hi nahi na mainay abtak bola jab tak kisi Mufti ka fatwa na ho Tum logon ki tarah th … https // t co / WeAUyzkH11,,
negative,RT @ FreeBuluchistan @ HinaKharaI @ azadbaluch999 @ mjdawar @ ImranKhanPTI @ peaceforchange Tumari ponjabi foj sharafat ki zuban nhi samajti hai,,
positive,@ maliniawasthi @ richaanirudh Ma'am aap ki smile ko copyright kar dijiye . It gives immense happiness seeing your smile .,,
neutral,@ anjanaomkashyap Madam tab wo Kisi BHI party Mai Tod fod Kar sarkar Nahi banana chahte the lakin aaj BJP sirf d … https // t co / bjcx5B6cqN,,
positive,@ samratsaleem @ bjp _ ka1 _ virodhi Ullu hai kya vipach ka matlab hi nahi maloom Vipch ka darja modi ne diya Hi nahi ye … https // t . co / ohgoCAaM1J,,
negative,Bsdk sharm he tuje bhade ka anti indian had he bc IPL ka fever utra nahi abhi Tak Kya https // t . co / c0bfB1G1tB,,
positive,RT @ iempress _ 1 📣 INDIA's GEN NEXT WANTS MODI ⤴ Unarguably NAMO Commands Immense Good Will amongst IND's Youth ⤴ Youth connect way better w …,,
positive,@ Shaheer _ S Aap se inspire hokar Mr Dixit I wrote my first shayari ! I dedicate this shayari to you Abir ! Aapki yeh … https // t co / E6ou8pCKd7,,
positive,@ PPBhaishri @ narendramodi Bahut sundar Great job Ashirwad Hamari hardik shubhkamnaye Ishwar sadaiv krapa banaye rak … https // t . co / IhdnMFC4DO,,
positive,@ guptamayank35 @ rssurjewala gupta ji election khatam ho gaye hain Pakistan ko jeene do . Un becharon ke L unhi ke lo … https // t . co / VEqERdawrk,,
neutral,@ IrshadBhatti336 Jo hospitals ka pesa metro bnane main laga kr gae 😫,,
positive,JAHA B JAO HAR TARAF BHARAT HI BHARAT HAI Is Dafa ALL Time Blockbuster Ka TAG Lagna Chahiye Or INSHAALLAH Lgy Ga .… https // t . co / 0NP8ybbx5s,,
positive,Aapka charitra hum sabke lite adarsh nav Bharat ki or koti koti naman https // t co / zCOmAggZP0,,
neutral,RT @ EstherObiwuru I'm a visual artist . This is one of my recent works . I'm new on Twitter . Show me around 😊 Please help RT ! https // t . co /…,,
negative,@ shivajiku000001 @ ashutosh83B @ SureshChavhanke @ aasmakhan _ khan @ iamspeaks _ Saale kmine .... Ab kaha h owasi,,
neutral,@ rssurjewala @ INCIndia Abhi to BJP Ko 303 aaye hai congress wale sadme me chal gaye 2024 me jab BJP 400+ aayege to … https // t co / CozW2rtVEU,,
negative,Ran into your brother tonight man ... hes doing well for himself and his family . He ’ s moving to Oklahoma can you bel … https // t . co / kfgwtD2XaG,,
neutral,@ ayeshaijazkhan 🤗 Peak of innocence .. Believe me sometimes i miss my childhood very badly .. No nasha no corruptio … https // t . co / fWCbCqBPwh,,
positive,@ iiscoDisco Jhoot nahi bol raha yay apni mahnat say PM bana hai or jab ap khud kisi Cheez ko experience kartay ho t … https // t . co / hkLSUc9hCx,,
positive,@ narendramodi aadarniy PM JI aapko dobara PM bnane ki bhut bhut badhai !! Meri aapse hath jodkr binti h ki desh me … https // t . co / CzfKP99fWY,,
neutral,Iss advice pe dhyaan nahi dena hai boys . Ghabrana nahi hai . https // t . co / ZVMOEU78Dv,,
negative,Pagal he saala Pakistan ka sirf aik stoon he or voh he ARMY not even Air force and NAVY https // t co / 0oylSUmxHj,,
negative,@ Ashishray89 @ vivekoberoi Log kaise hein ... Bandey ko openly free vote nahi dete aur itna paisa deke PVR mein mvi d … https // t . co / nE9ONNmNnC,,
positive,De de pyaar de . Superbly made film . A Refreshing take on Love Triangles . @ ajaydevgn @ Rakulpreet Tabu … https // t . co / bnPHUwEgqX,,
positive,Aaj humare respacted pm ji ki shapath grahan karne par pure desh ko badhai hume pm sir se kafi expectation hai they will improve our country,,
negative,@ RahulGandhi Aaj kal aap congress party ka mood pata nhi kr rahe hai . Phele toh bhaut krte thay . 303 ka tamacha kai … https // t . co / u6oIFpFfkx,,
positive,Happy birthday mammy RIP miss u lots yes 😔 https // t co / dRoSDrapiX,,
negative,@ LambaAlka Yar Lamba ji Ko mahatav ham log de rahe hai inko reply or like karna band kar do ye apne ap hi Sahi ho … https // t . co / jiEZK4MllE,,
negative,@ Irshadbhatti36 TOO WAQIE BOHT BRA HARAAMI HI NAHI BUL K WALDO ZINAA KI PAIDAWAAR HAI - TERI MAAN BHI TANGG TH … https // t . co / W8oaij1jhU,,
negative,@919977012012 @ yasser _ riyaz @ dXqPQSMiQU8TzTJ @ afreenk007 @ SanjeevYadav _ IN @ dmb _ gujarat Inhone khudne quran nahi padhi,,
positive,@ Payal _ Rohatgi @ SengarAjay505 Proud day for us . Modiji is back . Thanks for your effots . I can feel the joy in your … https // t . co / sgWMvjeSMe,,
negative,@ baati _ chokha Restaurants kholne ka mtlb koi sense of responsibility ni haikharab khana dete hai customers ko,,
positive,@ narendramodi congratulations 🎊 💐 sir Ye hamari khush kismati hai ki mai aapke yug me janm lia Or aapko as PM … https // t co / y0vFjyH5NZ,,
positive,@ nitin _ gadkari sir Pali dist . me Marwar jn . tahsil ke gavo me sadak ki halat bahut hi kharab ho chuki hai krupya aap Vishesh Dhyan deve sir .,,
negative,@ aajtak Laanat hai aisi sunami pe ki khud banaras ki seat bhi nhi bcha paaye feku chor modi ji sunami me sb uda le … https // t co / kE18QgxMEb,,
neutral,RT @ dapxstar i hate it when people think that i am being papansin on socmed just bc of posting / sharing stuffs that are funny for me and /…,,
positive,@ byadavbjp @ narendramodi mera bharat desh jaat paat se mukt yahi sangharsh desh ka vikas aur vishwas vikas ghar gha … https // t co / cyDNr2OLXD,,
neutral,Monirul Islam ko parti Se bahar nikalo warna BJP west bengal me bagawat ho jaiga https // t co / z8TQynL7tD,,
negative,@ Faranshakeels @ DaaruBaazMehta cause people want modi they want hindu rashtra . Padhai likhai karne se kya hoga ? c … https // t . co / UJUD94VlCv,,
neutral,@ GhaffarDawnNews Bangladesh agr jeeta to Pakistan k top 4 main any k chance bohat kam ho jany hain,,
negative,Tangled Kittu bahut badmaash hai . Koi faayeda nahi iska mba karke . Paisa duba di sab . Bahut badmaash ladki hai . Kha … https // t . co / IwongLsEOW,,
positive,RT @ JusticeKarthik Beautiful Composition !! Amazing rendition !! Loved this beautiful track !! Really You are Incredible Artist Miss @ jonit …,,
positive,RT @ Captaindksingh Col RSN Singh Veteran Army officer & Fmr RAW officer VANDE MATRAM Jai Ho n Jai Hind If we look for d gd in our life T …,,
neutral,Khanmarket Gang's propaganda like Atalji Good Advani Bad Advani Good Modi Bad Modi … https // t . co / DCia4osisz,,
neutral,@ Vdhillaa boleeh !! syaratnya rt dan like 💕💕 good luck yaa !,,
positive,@ nitin _ gadkari Sir badhai ho Sir Agra ke meyar ko smjhao kuch kare .... Modiji Raj is ..... RAMRAJ .... BUT ... https // t . co / 4KbUGTe0Nu,,
neutral,@ LemonTea123 _ Are aaj quantity of tweets zyaada thi isliye nahi dekhe hoge,,
positive,KHILA KAMAL MODI KE SUPER SUNAMI ME URE KUNBA ✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️ https // t . co / 5ep9k3toLJ,,
positive,Congratulations to my son Eric and Nova High ’ s graduating c / o 2019! You made it just like I knew you would ! Congrat … https // t . co / GJ0u1eOiRb,,
positive,# ValueTime _ ValueLife @ Gurmeetramrahim Good night guru g . Give us ur blessings 2 do more nd more Sewa Simran and P … https // t . co / IhB1UGOC9H,,
positive,@ emir _ izzat Get well soon jat selamat hari raya Aku maafkan semua salah kau jat Semoga tenang ye ? 😌,,
positive,@_ inidnan I say Delhi They hear tu Janta nahi mera Baap kaun hai,,
negative,@ timesofindia Chit Kay daadi mien tinka ( hope I got it right ),,
neutral,RT @ PankajK82545526 @ smritiirani @ narendramodi Ye hi to he sabka sath Sabka Vikash sabka vishwash or tabhi banega hamara Bharat mahan ... C …,,
positive,@ partisanofKhan MashaAllah they bothlook good . Patwari & media walay Jaltay hain Jalkukkar .,,
positive,@ Xadeejournalist @ zartajgulwazir Hahaha ... you want her to be disqualified from govt position as well . Ramzan ka khyal karo,,
neutral,RT @ Guy _ marwaadi Roshan Oye Roshan meh JCB ki khudai dekh k aaya Roshan https // t co / RQQ5V4glFP,,
positive,Accha hua yehi bet rakha aur Kuch Nahi rakha 😂😂 https // t . co / MRBmw72yCl,,
positive,@ narendramodi _ in Sabse bade loktantra me Sabse badi Vijay ke hardik subhkamnaye Modi ji AAP ASE he Vijay rath per … https // t co / r5xoM2LRfW,,
positive,On Loop Since Morning .. ❣️❣️😘 @ Mithoon11 sir Laate Kaha se aisi melody .. ❣️❣️😍 We All Love Youu https // t . co / efFLZKCNXl,,
positive,RT @ MonikaSharmaIns # LifeStyleTipsForStudents @ derasachasauda @ Gurmeetramrahim Dhan dhan satguru tera hi aasra pita ji good night ji alway …,,
neutral,Aap Sirf Gandhi Parivar Par Kyun Bolte Ho Aur BJP Mai Kya Parivarwad Nahi Hai ? Unke liye Kyun Nahi Bolte Ho ? Kya … https // t . co / 4X9SXeJBXy,,
neutral,@_ pallaviiiii _ @ Shrabonti @ saffrontrail Humne to suna nahi inme se jyadatar places ke naame ko .. Play Arena aur Claytopia suna hai ..,,
neutral,@ Shehla _ Rashid Ab chutiya nahi banegi public ... sab samjh rahe aapki gandi Rajneeti . Anti-Modi banke famous hone ka … https // t . co / VY4eKnn9dF,,
neutral,@ DesiStupides @ kunalkamra88 ab rehene de thapar ... tera Rahul khud Ra-fail ho Gaya hai ... tu Kya karne wala ... ja kahi … https // t . co / WKdH6vxRqT,,
neutral,@ askkona Yeah sure but if u no b movie freak u no fit watch all 😂 A dey suffer from ur sickness some kraaa so 4days … https // t . co / lVPCHd8PEV,,
neutral,Bjp 2014 ki Chunav kaladhan vapasi har saal do krore naukari mahangai kam karne musalmano ko Bharat se hatayeng … https // t . co / s5SQb2kQzi,,
positive,@ karr _ karrr Aw yeah if you staying home then you good lol,,
negative,@ BhaiDujana @ dwivedi344 Bsdk ke Pakistani apne baap ko nhi jaan paye Marege tu bhi bsdk Tera thekedar bhi Jo pa … https // t co / NBRcnqhvz3,,
negative,Sharam ka muqaam chor khaandaan ! Laanat 🖐🏼🖐🏼🖐🏼 Bajaye iss k apnay baap ki chorion pay usay jail chhorr kar aye besh … https // t . co / SjLf0HdLUW,,
neutral,@ SonuKakkar @ YouTubeIndia @ raisonai @ tanishkbagchi This is amazing ♥️👌 didu @ SonuKakkar aapne iss Gane ko poora enj … https // t . co / YRDR0FAYGg,,
neutral,Ye BBC hai Ye B - BC hai https // t co / YMehFb4Vwm,,
negative,RT @ VinodSh46061220 Sanghmita exp train no . 12296 me behad bhid hai jisme log bhais bakriyo ki tarah bhare huy hai Pair rakhne ki bhi jagah …,,
negative,@ asadowaisi Teri maa ki chut behen ke lode Teri gand main jor h to 15 minute ke liye mil le tujhe Teri Randi maa ke … https // t . co / BDrD2zcWea,,
negative,@ fawadchaudhry Maray scientist tum Jo marzi ker lo bohat bura hona hai tumharay sath Pakistan mien munafiqo ko kisi … https // t . co / IeWSms2INB,,
neutral,RT @ shrutithenaik ' kha ' is a great word - in korean it means ' go ' in hindi it means ' eat ' & it's basically all i wanna do in life just go …,,
